item_id,user_id,recommend,sentiment_analysis,items_count,item_name,playtime_forever,genres,price,title,developer,release_date
287980,tru_mu_,True,2,62.0,Mini Metro,620.0,"['Indie', 'Simulation', 'Strategy']",9.99,Mini Metro,Dinosaur Polo Club,2015-11-06
224260,76561198070565427,True,0,75.0,No More Room in Hell,3061.0,"['Action', 'Free to Play', 'Indie']",Free,No More Room in Hell,No More Room in Hell Team,2011-10-31
221100,SavageEeEe,True,2,32.0,DayZ,54642.0,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']",34.99,DayZ,Bohemia Interactive,2013-12-16
570,76561198076909484,True,2,,,,,,,,
4000,KanadeTheNeko,True,2,73.0,Garry's Mod,44455.0,"['Indie', 'Simulation']",9.99,Garry's Mod,Facepunch Studios,2006-11-29
323370,Leaf_Light_Moscow,True,2,5.0,TERA,390.0,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",Free to Play,TERA,"Bluehole, Inc.",2015-05-05
304930,GoAwayZach,True,2,59.0,Unturned,8496.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']",Free to Play,Unturned,Smartly Dressed Games,2017-07-07
48700,76561198054540475,True,2,106.0,Mount & Blade: Warband,8044.0,"['Action', 'RPG']",19.99,Mount &amp; Blade: Warband,TaleWorlds Entertainment,2010-03-31
34900,76561198085547365,True,2,65.0,Bad Rats,30.0,['Indie'],0.99,Bad Rats: the Rats' Revenge,Invent4 Entertainment,2009-07-20
730,76561198061252210,True,2,25.0,Counter-Strike: Global Offensive,41281.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
113200,OfficialShroomsy,True,2,51.0,The Binding of Isaac,1319.0,"['Action', 'Adventure', 'Indie', 'RPG']",4.99,The Binding of Isaac,Edmund McMillen and Florian Himsl,2011-09-28
383080,boydeer,False,0,149.0,Sakura Clicker,121.0,,,,,
213670,VVillis,True,0,168.0,South Parkâ¢: The Stick of Truthâ¢,132.0,"['Action', 'Adventure', 'RPG']",29.99,South Park™: The Stick of Truth™,Obsidian Entertainment,2014-03-03
105600,76561198083226897,True,0,6.0,Terraria,12932.0,"['Action', 'Adventure', 'Indie', 'RPG']",9.99,Terraria,Re-Logic,2011-05-16
570,76561198075277292,True,2,,,,,,,,
620,76561198028895010,True,2,190.0,Portal 2,1903.0,"['Action', 'Adventure']",19.99,Portal 2,Valve,2011-04-18
271290,76561198170198366,True,2,27.0,HAWKEN,416.0,,,,,
224260,diego9031,True,2,200.0,No More Room in Hell,1116.0,"['Action', 'Free to Play', 'Indie']",Free,No More Room in Hell,No More Room in Hell Team,2011-10-31
440,jarrodtrim,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
304930,76561198078738103,True,2,33.0,Unturned,2154.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']",Free to Play,Unturned,Smartly Dressed Games,2017-07-07
440,76561198067936203,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
1840,76561198079770573,True,0,,,,,,,,
440,76561198087586464,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
440,Derp-e,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
248570,76561198070194565,True,0,214.0,Toribash,1039.0,"['Action', 'Free to Play', 'Indie', 'Strategy']",Free to Play,Toribash,Nabi Studios,2006-03-01
298630,Rivtex,True,0,51.0,The Escapists,5145.0,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']",17.99,The Escapists,Mouldy Toof Studios,2015-02-13
2280,UTNerd24,True,0,188.0,The Ultimate DOOM,27.0,['Action'],4.99,Ultimate Doom,id Software,1995-04-30
417860,sandwiches1,False,0,172.0,Emily is Away,55.0,"['Adventure', 'Casual', 'Free to Play', 'Indie', 'Simulation']",Free to Play,Emily is Away,Kyle Seeley,2015-11-20
218620,76561198138053270,True,2,,,,,,,,
222880,lucaswerg,True,0,,,,"['Action', 'Indie', 'Strategy']",9.99,Insurgency,New World Interactive,2014-01-22
211820,Life-Of-Blu,True,2,64.0,Starbound,8729.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",14.99,Starbound,Chucklefish,2016-07-22
252490,CaptianAutismo,True,0,62.0,Rust,26620.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",19.99,Rust,Facepunch Studios,2013-12-11
440,76561198075895633,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
242920,TheDropix101,True,2,16.0,Banished,1075.0,"['Indie', 'Simulation', 'Strategy']",19.99,Banished,Shining Rock Software LLC,2014-02-18
251990,kube134,True,2,476.0,Long Live The Queen,181.0,"['Indie', 'RPG', 'Simulation', 'Strategy']",9.99,Long Live The Queen,Hanako Games,2013-11-08
399730,iamthekingofbrowntown,True,2,,,,"['Action', 'Indie', 'Racing', 'Sports']",3.99,Rocket League® - Revenge of the Battle-Cars DLC Pack,"Psyonix, Inc.",2015-07-07
550,MainScout,True,0,36.0,Left 4 Dead 2,22568.0,['Action'],19.99,Left 4 Dead 2,Valve,2009-11-16
550,MainScout,True,0,36.0,Left 4 Dead 2,22568.0,['Action'],19.99,Left 4 Dead 2,Valve,2009-11-16
219150,yookobz,True,2,174.0,Hotline Miami,353.0,"['Action', 'Indie']",9.99,Hotline Miami,Dennaton Games,2012-10-23
17410,Posiblydead,True,2,255.0,Mirror's Edge,1146.0,"['Action', 'Adventure']",19.99,Mirror's Edge™,DICE,2009-01-13
440,Mossy_Gaming,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
333930,76561198102421718,True,0,88.0,Dirty Bomb,1454.0,"['Action', 'Free to Play']",Free to Play,Dirty Bomb®,Splash Damage,Jun 2015
440,76561198087407319,True,0,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
730,76561198056741844,True,0,257.0,Counter-Strike: Global Offensive,37986.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
264140,sad-commie,True,0,306.0,Pixel Piracy,1272.0,"['Adventure', 'Indie', 'RPG', 'Simulation']",9.99,Pixel Piracy,Vitali Kirpu,2015-04-23
32430,76561198030567998,True,2,75.0,STAR WARSâ¢: The Force Unleashedâ¢ Ultimate Sith Edition,2748.0,['Action'],19.99,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,"LucasArts,Aspyr Studios",2009-11-03
440,76561198010674657,True,0,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
236390,Coldaniel,True,2,133.0,War Thunder,20531.0,,,,,
212680,therealmorty,True,0,174.0,FTL: Faster Than Light,365.0,"['Indie', 'Simulation', 'Strategy']",9.99,FTL: Faster Than Light,Subset Games,2012-09-14
391540,Berserklejerker,True,2,123.0,Undertale,1643.0,"['Indie', 'RPG']",9.99,Undertale,tobyfox,2015-09-15
550,76561198061730629,True,0,87.0,Left 4 Dead 2,6287.0,['Action'],19.99,Left 4 Dead 2,Valve,2009-11-16
570,YoHuNz,True,0,,,,,,,,
113400,possessioniskey,True,2,,,,"['Action', 'Free to Play', 'Massively Multiplayer']",Free to Play,APB Reloaded,Reloaded Productions,2011-12-06
440,76561198093112529,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
200510,76561198060447950,True,2,55.0,XCOM: Enemy Unknown,2190.0,['Strategy'],29.99,XCOM: Enemy Unknown,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012-10-08
730,whiteofwolfing,True,2,21.0,Counter-Strike: Global Offensive,94334.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
383080,sergarino,True,2,80.0,Sakura Clicker,39080.0,,,,,
1250,76561198081962345,True,0,,,,['Action'],19.99,Killing Floor,Tripwire Interactive,2009-05-14
1250,76561198081962345,True,0,,,,['Action'],19.99,Killing Floor,Tripwire Interactive,2009-05-14
304050,76561198073210139,True,2,39.0,Trove,153.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']",Free to Play,Trove,Trion Worlds,2015-07-09
210770,Nozomikat,True,2,108.0,Sanctum 2,227.0,"['Action', 'Indie', 'Strategy']",14.99,Sanctum 2,Coffee Stain Studios,2013-05-15
410,xfluttersx,True,2,,,,,,,,
730,76561198056290589,True,2,41.0,Counter-Strike: Global Offensive,55168.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
203290,ii_voltage_ii,True,2,456.0,America's Army: Proving Grounds,1202.0,,,,,
233150,76561198097762318,True,0,,,,"['Action', 'Indie', 'Simulation']",9.99,LUFTRAUSERS,Vlambeer,2014-03-18
550,Hirukaz,True,0,81.0,Left 4 Dead 2,4397.0,['Action'],19.99,Left 4 Dead 2,Valve,2009-11-16
211820,StelerForYou,True,2,68.0,Starbound,6071.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",14.99,Starbound,Chucklefish,2016-07-22
440,76561198183396245,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
113420,Xx-Woods,True,2,,,,"['Free to Play', 'Massively Multiplayer', 'RPG']",Free to Play,Fallen Earth Free2Play,Reloaded Productions,2011-10-12
440,kevinator23,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
304930,76561198090715178,True,2,82.0,Unturned,2503.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']",Free to Play,Unturned,Smartly Dressed Games,2017-07-07
206210,CatsWhale,True,2,,,,"['Action', 'Free to Play']",Free to Play,Gotham City Impostors Free to Play,"Monolith Productions, Inc.",2012-08-30
299740,76561198073784601,False,0,,,,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy', 'Early Access']",19.99,Miscreated,Entrada Interactive LLC,2014-10-30
730,mimimomoma,True,2,,,,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
440,76561198102410011,True,0,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
209870,de_Butl3r,True,2,17.0,Blacklight: Retribution,15802.0,"['Action', 'Free to Play']",Free to Play,Blacklight: Retribution,Hardsuit Labs,2012-07-02
304050,76561198027947401,True,2,27.0,Trove,3377.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']",Free to Play,Trove,Trion Worlds,2015-07-09
413850,Bluezap1,True,0,50.0,CS:GO Player Profiles,0.0,,,,,
730,76561198074200011,True,2,4.0,Counter-Strike: Global Offensive,68487.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
346110,jonasdbomb,True,2,461.0,ARK: Survival Evolved,6718.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",59.99,ARK: Survival Evolved,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017-08-29
570,L1J1N,True,2,,,,,,,,
322170,Lord_Exploit,True,2,48.0,Geometry Dash,45.0,"['Action', 'Indie']",3.99,Geometry Dash,RobTop Games,2014-12-22
249570,AVATAR715,True,2,186.0,The Castle Doctrine,2127.0,"['Indie', 'Massively Multiplayer', 'Strategy']",15.99,The Castle Doctrine,Jason Rohrer,2014-01-29
730,YieuwMage,True,2,70.0,Counter-Strike: Global Offensive,24823.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
240,76561198078752187,True,0,,,,['Action'],19.99,Counter-Strike: Source,Valve,2004-11-01
440,A-Very-Sly-Person,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
333930,76561198211054671,True,0,,,,"['Action', 'Free to Play']",Free to Play,Dirty Bomb®,Splash Damage,Jun 2015
440,76561197994493402,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
298050,Koolcaz12,False,2,,,,['Strategy'],29.99,Master of Orion,NGD Studios,2016-02-26
383080,76561198065656175,True,2,110.0,Sakura Clicker,1146.0,,,,,
440,76561198188979775,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
291550,97396295,False,0,22.0,Brawlhalla,3282.0,"['Action', 'Free to Play', 'Indie']",Free to Play,Brawlhalla,Blue Mammoth Games,2017-10-17
730,76561198126640317,True,2,27.0,Counter-Strike: Global Offensive,91215.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
550,DemonicWolvz,True,2,106.0,Left 4 Dead 2,4932.0,['Action'],19.99,Left 4 Dead 2,Valve,2009-11-16
227680,DieMadchenschanderin,False,2,,,,,,,,
233250,GGargula,True,0,185.0,Planetary Annihilation,344.0,,,,,
273350,Myther43,True,2,213.0,Evolve Stage 2,553.0,"['Action', 'Free to Play']",Free to Play,Evolve Stage 2,Turtle Rock Studios,2015-02-10
440,getf0kinn0sc0pedm9,False,0,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
730,76561198141443390,True,2,,,,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
570,76561198097333029,True,0,,,,,,,,
730,whodafuqisthisguilao,True,2,41.0,Counter-Strike: Global Offensive,56450.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
313740,Magjiikal,True,2,162.0,Sakura Spirit,645.0,,,,,
264200,ohnospaghet,True,2,176.0,One Finger Death Punch,180.0,"['Action', 'Casual', 'Indie']",4.99,One Finger Death Punch,Silver Dollar Games,2014-03-03
292030,76561198050347115,True,0,95.0,The Witcher 3: Wild Hunt,11327.0,,,,,
222440,2768820078,True,0,91.0,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,10101.0,['Action'],14.99,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,"SNK CORPORATION,Code Mystics",2015-02-27
269210,76561198056392326,False,0,141.0,Hero Siege,194.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",5.99,Hero Siege,"Elias Viglione,Jussi Kukkonen",2014-01-29
47410,2d4nk4m3,True,2,160.0,Stronghold Kingdoms,7440.0,"['Free to Play', 'Massively Multiplayer', 'Strategy']",Free to Play,Stronghold Kingdoms,FireFly Studios,2012-02-27
730,76561198078478151,True,0,23.0,Counter-Strike: Global Offensive,925.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
365450,exiaez,True,0,37.0,Hacknet,519.0,"['Indie', 'Simulation']",9.99,Hacknet,Team Fractal Alligator,2015-08-12
245620,76561198095921854,True,2,82.0,Tropico 5,1231.0,"['RPG', 'Simulation', 'Strategy']",19.99,Tropico 5,Haemimont Games,2014-05-23
359550,EizanAratoFujimaki,False,0,,,,['Action'],14.99,Tom Clancy's Rainbow Six® Siege,Ubisoft Montreal,2015-12-01
314130,TeCool,False,0,,,,,,,,
440,2xDelorean,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
417860,washington_,True,0,112.0,Emily is Away,18.0,"['Adventure', 'Casual', 'Free to Play', 'Indie', 'Simulation']",Free to Play,Emily is Away,Kyle Seeley,2015-11-20
251970,jewxxl,True,2,,,,,,,,
304930,76561198088944293,True,0,131.0,Unturned,4146.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']",Free to Play,Unturned,Smartly Dressed Games,2017-07-07
440,76561198092540221,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
730,76561198051258119,True,2,73.0,Counter-Strike: Global Offensive,22534.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
265610,nubquake123,True,2,76.0,Epic Battle Fantasy 4,4884.0,"['Adventure', 'RPG']",11.99,Epic Battle Fantasy 4,Matt Roszak,2014-02-25
240,Pyromanic,True,2,41.0,Counter-Strike: Source,94.0,['Action'],19.99,Counter-Strike: Source,Valve,2004-11-01
440,76561198109656922,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
252490,CobRazor,True,0,70.0,Rust,3621.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",19.99,Rust,Facepunch Studios,2013-12-11
8930,relesprit,True,2,104.0,Sid Meier's Civilization V,7250.0,['Strategy'],29.99,Sid Meier's Civilization® V,"Firaxis Games,Aspyr (Mac, Linux)",2010-09-21
224260,WitchHunter4542,True,2,75.0,No More Room in Hell,1771.0,"['Action', 'Free to Play', 'Indie']",Free,No More Room in Hell,No More Room in Hell Team,2011-10-31
440,pwrt,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
440,wantmahbody,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
219640,76561198115868847,False,0,33.0,Chivalry: Medieval Warfare,2003.0,"['Action', 'Indie']",24.99,Chivalry: Medieval Warfare,Torn Banner Studios,2012-10-16
570,benedictcuminherbatch,True,2,,,,,,,,
8930,76561198031207016,True,2,41.0,Sid Meier's Civilization V,25902.0,['Strategy'],29.99,Sid Meier's Civilization® V,"Firaxis Games,Aspyr (Mac, Linux)",2010-09-21
231430,76561198043458582,True,2,168.0,Company of Heroes 2,2890.0,['Strategy'],19.99,Company of Heroes 2,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2013-06-25
218620,smashiroshh,True,2,172.0,PAYDAY 2,17269.0,,,,,
225540,shark854,True,2,37.0,Just Cause 3,935.0,"['Action', 'Adventure']",49.99,Just Cause™ 3,Avalanche Studios,2015-11-30
333930,killbunny38,False,0,110.0,Dirty Bomb,194.0,"['Action', 'Free to Play']",Free to Play,Dirty Bomb®,Splash Damage,Jun 2015
230410,76561198047630659,False,2,133.0,Warframe,5335.0,"['Action', 'Free to Play']",Free to Play,Warframe,Digital Extremes,2013-03-25
243470,1337lolroflmao,True,0,197.0,Watch_Dogs,1562.0,"['Action', 'Adventure']",29.99,Watch_Dogs™,Ubisoft,2014-05-26
302830,sithjjf,False,0,,,,"['Action', 'Free to Play', 'Early Access']",Free to Play,BLOCKADE 3D,Shumkov Dmitriy,2014-11-05
570,76561198060039459,False,0,,,,,,,,
212680,OzfurAtlas,True,0,125.0,FTL: Faster Than Light,2714.0,"['Indie', 'Simulation', 'Strategy']",9.99,FTL: Faster Than Light,Subset Games,2012-09-14
203750,76561198065593074,True,2,111.0,Binary Domain,952.0,['Action'],14.99,Binary Domain,Devil's Details,2012-04-27
4000,76561198044169764,True,0,,,,"['Indie', 'Simulation']",9.99,Garry's Mod,Facepunch Studios,2006-11-29
236390,euzi,True,2,19.0,War Thunder,41384.0,,,,,
437220,76561198074935997,False,2,,,,,,,,
730,76561197961778802,True,2,,,,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
440,lucasrash,True,0,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
433340,76561198016602703,True,2,,,,"['Action', 'Adventure', 'Indie', 'Simulation']",19.99,Slime Rancher,Monomi Park,2017-08-01
440,thisissohardtomakeoneup,True,0,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
4000,76561198087010391,True,2,7.0,Garry's Mod,23435.0,"['Indie', 'Simulation']",9.99,Garry's Mod,Facepunch Studios,2006-11-29
302830,66666669999999,False,0,121.0,BLOCKADE 3D,52.0,"['Action', 'Free to Play', 'Early Access']",Free to Play,BLOCKADE 3D,Shumkov Dmitriy,2014-11-05
242760,76561198061174192,True,0,131.0,The Forest,154.0,"['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']",14.99,The Forest,Endnight Games Ltd,2014-05-30
352460,ReMiXOfficalSteam,True,2,106.0,Dead Realm,74.0,"['Action', 'Adventure', 'Indie', 'Strategy']",14.99,Dead Realm,Section Studios,2015-08-03
322920,Wilfire77,True,2,113.0,theHunter: Primal,1279.0,"['Action', 'Adventure', 'Simulation']",9.99,theHunter: Primal,"Expansive Worlds,Avalanche Studios",2015-03-31
252490,76561198084390807,True,2,26.0,Rust,1181.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",19.99,Rust,Facepunch Studios,2013-12-11
278360,Mastic,False,2,365.0,A Story About My Uncle,230.0,"['Adventure', 'Casual', 'Indie']",12.99,A Story About My Uncle,Gone North Games,2014-05-28
10180,76561198028286104,True,2,30.0,Call of Duty: Modern Warfare 2,10169.0,['Action'],19.99,Call of Duty®: Modern Warfare® 2,"Infinity Ward,Aspyr (Mac)",2009-11-12
730,tarjla,True,2,193.0,Counter-Strike: Global Offensive,23614.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
276340,deathnz1,True,2,250.0,My Riding Stables: Life with Horses,207.0,"['Casual', 'Simulation', 'Sports']",9.99,My Riding Stables: Life with Horses,Sproing,2014-03-27
227940,readingthis4noobs,True,2,57.0,Heroes & Generals,33715.0,"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer']",Free to Play,Heroes &amp; Generals,Reto-Moto,2016-10-18
304930,76561198104393251,True,2,51.0,Unturned,5012.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']",Free to Play,Unturned,Smartly Dressed Games,2017-07-07
730,76561198075322986,True,0,91.0,Counter-Strike: Global Offensive,39916.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
440,redsncrimson,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
252950,76561198151910904,True,2,38.0,Rocket League,3779.0,"['Action', 'Indie', 'Racing', 'Sports']",19.99,Rocket League®,"Psyonix, Inc.",2015-07-07
570,H1DD3NT3RR0R,True,0,,,,,,,,
268750,76561198071214618,True,2,93.0,Magicite,1085.0,"['Action', 'Adventure', 'Indie', 'RPG']",9.99,Magicite,SmashGames,2014-06-09
570,76561198115115631,True,2,,,,,,,,
271590,76561198071175142,True,2,,,,"['Action', 'Adventure']",39.99,Grand Theft Auto V,Rockstar North,2015-04-14
730,t8s,True,2,70.0,Counter-Strike: Global Offensive,42273.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
12900,pikawuu2,True,2,100.0,Audiosurf,5794.0,['Indie'],9.99,AudioSurf,Dylan Fitterer,2008-02-15
301520,Sammeh00,True,2,96.0,Robocraft,20972.0,"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation']",Free to Play,Robocraft,Freejam,2017-08-24
304930,Michaelele,True,2,66.0,Unturned,1297.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']",Free to Play,Unturned,Smartly Dressed Games,2017-07-07
335670,76561198045754869,True,0,124.0,LISA,2892.0,"['Adventure', 'Indie', 'RPG']",9.99,LISA,Dingaling,2014-12-15
215080,76561198076098774,True,2,9.0,WAKFU,27931.0,"['Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy']",Free to Play,WAKFU,Ankama Studio,2014-09-18
570,76561198103253374,True,0,,,,,,,,
270880,76561198048417105,True,2,12.0,American Truck Simulator,7090.0,"['Indie', 'Simulation']",19.99,American Truck Simulator,SCS Software,2016-02-02
8190,76561198090842891,True,2,40.0,Just Cause 2,6531.0,"['Action', 'Adventure']",14.99,Just Cause 2,Avalanche Studios,2010-03-23
247730,76561198055767971,False,0,,,,"['Action', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation']",4.99,Nether: Resurrected,Phosphor Games Studio,2014-06-05
233630,76561197998052647,True,2,113.0,Ascend: Hand of Kul,739.0,,,,,
303390,adohya343,False,2,137.0,Dead Bits,15.0,"['Action', 'Casual', 'Indie']",0.99,Dead Bits,Microblast Games,2014-06-07
221100,76561198145436942,True,2,34.0,DayZ,67256.0,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']",34.99,DayZ,Bohemia Interactive,2013-12-16
427820,jjas01,False,0,,,,['Strategy'],7.99,Hitman GO: Definitive Edition,Square Enix Montréal,2016-02-23
550,3xotic26,True,2,153.0,Left 4 Dead 2,6174.0,['Action'],19.99,Left 4 Dead 2,Valve,2009-11-16
